Image.Name,Hour,Minute,Sec,Summary.Statistic,Area,Average.intensity,Total.intensity,Image,Overlay,Treatment,NormAvgAVG,NormAvgTOT,Dissociation,SLIDE,Time,Label
Red,55:00:00,57:00:00,892,Average,0.086474583,14519.72266,182299.2813,Copy of Image 29_Maximum intensity projection.tif,GRB_R,CTL,0.957092654,0.949324296,VC2780,VC2780_S1,24H,CTL
Red,58:00:00,21:00,227,Average,0.096386731,15771.12695,219680.875,Copy of Image 30_Maximum intensity projection.tif,GRB_R,CTL,1.039581134,1.143989107,VC2780,VC2780_S1,24H,CTL
Red,0:00,26:00:00,233,Average,0.097489737,19273.54492,293729.125,Copy of Image 32_Maximum intensity projection.tif,GRB_R,CTL,1.270449078,1.529595689,VC2780,VC2780_S1,24H,CTL
Red,1:00,54:00:00,744,Average,0.091939226,18991.04688,252930.9063,Copy of Image 34_Maximum intensity projection.tif,GRB_R,CTL,1.25182773,1.317138788,VC2780,VC2780_S1,24H,CTL
Red,5:00,47:00:00,980,Average,0.106283121,16789.06055,281904,Copy of Image 37_Maximum intensity projection.tif,GRB_R,CTL,1.106679989,1.468016299,VC2780,VC2780_S2,24H,CTL
Red,7:00,8:00,328,Average,0.083280109,14615.84668,174851.7656,Copy of Image 39_Maximum intensity projection.tif,GRB_R,CTL,0.963428835,0.910541326,VC2780,VC2780_S2,24H,CTL
Red,11:00,15:00,411,Average,0.07291352,14819.89453,157676.6406,Copy of Image 42_Maximum intensity projection.tif,GRB_R,CTL,0.976879002,0.821101788,VC2780,VC2780_S2,24H,CTL
Red,9:00,34:00:00,507,Average,0.088007607,16519.36133,206782.375,Copy of Image 43_Maximum intensity projection.tif,GRB_R,CTL,1.088902298,1.076820112,VC2780,VC2780_S2,24H,CTL
Red,17:00,18:00,249,Average,0.130790055,25118.66992,488494.7813,Copy of Image 13_Maximum intensity projection.tif,GRB_R,MK4256,1.65574061,2.543838686,VC2780,VC2780_S3,24H,MK_1
Red,21:00,21:00,66,Average,0.113604322,21896.32227,386844.375,Copy of Image 47_Maximum intensity projection.tif,GRB_R,MK4256,1.443333987,2.014493756,VC2780,VC2780_S4,24H,MK_1
Red,8:00,32:00:00,249,Average,0.0843613,19382.8418,241568.8438,Copy of Image 49_Maximum intensity projection.tif,GRB_R,MK4256,1.277653571,1.257970799,VC2780,VC2780_S4,24H,MK_1
Red,28:00:00,0:00,331,Average,0.115596063,22113.67188,386922.5938,Copy of Image 4_Maximum intensity projection.tif,GRB_R,MK4256,1.457660963,2.01490108,VC2780,VC2780_S3,24H,MK_1
Red,29:00:00,44:00:00,143,Average,0.079004444,13840.6875,161277.7656,Copy of Image 5_Maximum intensity projection.tif,GRB_R,MK4256,0.912332876,0.839854662,VC2780,VC2780_S3,24H,MK_1
Red,31:00:00,13:00,214,Average,0.086957991,14981.6875,209691.8281,Copy of Image 7_Maximum intensity projection.tif,GRB_R,MK4256,0.987543866,1.091971102,VC2780,VC2780_S3,24H,MK_1
Red,33:00:00,9:00,192,Average,0.106334969,21150.375,327029.5313,Copy of Image 9_Maximum intensity projection.tif,GRB_R,MK4256,1.394163581,1.703007698,VC2780,VC2780_S3,24H,MK_1
Red,30:00:00,35:00:00,767,Average,0.054195743,11717.79004,87798.73438,Copy of Image 10_Maximum intensity projection.tif,GRB_R,CTL,0.772398415,0.457212289,VC2780,VC2780_S5,24H,CTL
Red,32:00:00,42:00:00,638,Average,0.085695475,14379.89941,185633.7344,Copy of Image 12_Maximum intensity projection.tif,GRB_R,CTL,0.947875962,0.966688475,VC2780,VC2780_S5,24H,CTL
Red,35:00:00,48:00:00,920,Average,0.10403648,19545.25781,295423.1563,Copy of Image 13_Maximum intensity projection 2.tif,GRB_R,CTL,1.288359503,1.538417364,VC2780,VC2780_S5,24H,CTL
Red,37:00:00,27:00:00,656,Average,0.072583593,11971.1875,122118.6172,Copy of Image 1_Maximum intensity projection.tif,GRB_R,CTL,0.789101547,0.635933227,VC2780,VC2780_S6,24H,CTL
Red,39:00:00,55:00:00,357,Average,0.085487336,15034.83301,174033.2813,Copy of Image 4_Maximum intensity projection 2.tif,GRB_R,CTL,0.991047044,0.906279065,VC2780,VC2780_S6,24H,CTL
Red,44:00:00,21:00,88,Average,0.061091185,11852.27637,98710.83594,Copy of Image 6_Maximum intensity projection.tif,GRB_R,CTL,0.781263314,0.514037105,VC2780,VC2780_S6,24H,CTL
Red,49:00:00,21:00,20,Average,0.090124615,13864.69531,195041,Copy of Image 7_Maximum intensity projection 2.tif,GRB_R,CTL,0.913915392,1.015676851,VC2780,VC2780_S6,24H,CTL
Red,51:00:00,23:00,490,Average,0.079323493,13064.93945,143874.7188,Copy of Image 9_Maximum intensity projection 2.tif,GRB_R,CTL,0.8611981,0.74922822,VC2780,VC2780_S6,24H,CTL
Red,54:00:00,9:00,96,Average,0.0908067,15645.75098,205617.4688,Copy of Image 15_Maximum intensity projection.tif,GRB_R,MK4256,1.03131676,1.070753858,VC2780,VC2780_S7,24H,MK_1
Red,56:00:00,11:00,298,Average,0.111458883,21123.33594,334508.4063,Copy of Image 17_Maximum intensity projection 2.tif,GRB_R,MK4256,1.392381255,1.741953972,VC2780,VC2780_S7,24H,MK_1
Red,1:00,12:00,678,Average,0.123651341,19826.5957,355830.9375,Copy of Image 22_Maximum intensity projection 2.tif,GRB_R,MK4256,1.306904377,1.852991146,VC2780,VC2780_S7,24H,MK_1
Red,5:00,35:00:00,472,Average,0.094486028,15620.27051,219764.9844,Copy of Image 26_Maximum intensity projection.tif,GRB_R,MK4256,1.029637171,1.144427107,VC2780,VC2780_S7,24H,MK_1
Red,8:00,55:00:00,219,Average,0.110036708,19103.91211,312533.125,Copy of Image 28_Maximum intensity projection.tif,GRB_R,MK4256,1.259267437,1.6275176,VC2780,VC2780_S8,24H,MK_1
Red,14:00,46:00:00,657,Average,0.097642198,15474.03125,218723.125,Copy of Image 30_Maximum intensity projection.ome.tif,GRB_R,MK4256,1.019997557,1.139001619,VC2780,VC2780_S8,24H,MK_1
Red,16:00,34:00:00,519,Average,0.080850057,13843.15332,163767.6094,Copy of Image 31_Maximum intensity projection.tif,GRB_R,MK4256,0.912495415,0.852820534,VC2780,VC2780_S8,24H,MK_1
Red,18:00,12:00,678,Average,0.097877882,18195.23242,254016.4219,Copy of Image 33_Maximum intensity projection.tif,GRB_R,MK4256,1.199370242,1.322791616,VC2780,VC2780_S8,24H,MK_1
Red,20:00,30:00:00,581,Average,0.106219895,17822.65625,264572.5938,Copy of Image 35_Maximum intensity projection.tif,GRB_R,MK4256,1.174811239,1.377762926,VC2780,VC2780_S8,24H,MK_1
Blue,55:00:00,58:00:00,192,Average,0.086474583,13271.47656,172508.5313,Copy of Image 29_Maximum intensity projection.tif,GRB_B,CTL,0.979232424,1.008681069,VC2780,VC2780_S1,24H,CTL
Blue,58:00:00,21:00,527,Average,0.096386731,16232.9082,222657.9531,Copy of Image 30_Maximum intensity projection.tif,GRB_B,CTL,1.197740883,1.301911624,VC2780,VC2780_S1,24H,CTL
Blue,0:00,26:00:00,565,Average,0.097489737,12400.125,180579.75,Copy of Image 32_Maximum intensity projection.tif,GRB_B,CTL,0.914939977,1.055874593,VC2780,VC2780_S1,24H,CTL
Blue,1:00,55:00:00,54,Average,0.091939226,13574.59668,178011.3281,Copy of Image 34_Maximum intensity projection.tif,GRB_B,CTL,1.001598063,1.040856678,VC2780,VC2780_S1,24H,CTL
Blue,5:00,48:00:00,340,Average,0.106283121,13865.60449,236151.75,Copy of Image 37_Maximum intensity projection.tif,GRB_B,CTL,1.023069998,1.380811708,VC2780,VC2780_S2,24H,CTL
Blue,7:00,8:00,638,Average,0.083280109,13039.61719,162254.1875,Copy of Image 39_Maximum intensity projection.tif,GRB_B,CTL,0.962124741,0.948722513,VC2780,VC2780_S2,24H,CTL
Blue,11:00,15:00,741,Average,0.07291352,15265.43457,172470.7656,Copy of Image 42_Maximum intensity projection.tif,GRB_B,CTL,1.126356094,1.008460248,VC2780,VC2780_S2,24H,CTL
Blue,9:00,34:00:00,837,Average,0.088007607,13519.02148,184673.4375,Copy of Image 43_Maximum intensity projection.tif,GRB_B,CTL,0.997497461,1.079810946,VC2780,VC2780_S2,24H,CTL
Blue,17:00,18:00,609,Average,0.130790055,21269.91406,413844.1563,Copy of Image 13_Maximum intensity projection.tif,GRB_B,MK4256,1.569395041,2.419803606,VC2780,VC2780_S3,24H,MK_1
Blue,21:00,21:00,376,Average,0.113604322,19586.51563,343777.0313,Copy of Image 47_Maximum intensity projection.tif,GRB_B,MK4256,1.445185929,2.010111505,VC2780,VC2780_S4,24H,MK_1
Blue,8:00,32:00:00,469,Average,0.0843613,15205.60449,196025.4844,Copy of Image 49_Maximum intensity projection.tif,GRB_B,MK4256,1.121941547,1.146187923,VC2780,VC2780_S4,24H,MK_1
Blue,28:00:00,0:00,611,Average,0.115596063,14829.18164,281845.3438,Copy of Image 4_Maximum intensity projection.tif,GRB_B,MK4256,1.094167286,1.647988425,VC2780,VC2780_S3,24H,MK_1
